State,Residence_Type,Gender,Agriculture & Fishing (%),Mining (%),Manufacturing (%),Energy Supply (%),"Persons working in water supply, sewerage, waste management and remediation industry (%)",Construction (%),Wholesale (%),Transportation & Storage (%),Hotel Industry (%),IT (%),Finance & Insurance (%),Real Estate (%),Scientific & Technical (%),Administration (%),Public administration & Defence (%),Education (%),Health (%),Entertainment Industry (%),Household (%)
Rajasthan,Rural,Male,55.72,0.95,5.13,0.5,0.07,16.31,6.42,4.9,1.49,0.25,0.52,0.0,0.5,0.61,1.0,2.57,0.54,0.66,0.03
Rajasthan,Rural,Person,64.73,0.68,4.63,0.42,0.09,13.11,4.85,3.3,1.05,0.17,0.34,0.0,0.38,0.41,0.78,2.67,0.64,0.45,0.02
Rajasthan,Total,Female,75.2,0.12,5.38,0.24,0.41,6.46,2.34,0.29,0.34,0.09,0.14,0.02,0.23,0.25,0.57,5.46,1.27,0.06,0.41
Rajasthan,Total,Male,43.05,0.98,8.41,0.54,0.24,15.47,10.5,5.61,2.03,0.76,1.17,0.22,1.03,1.28,1.44,3.38,1.03,0.62,0.08
Rajasthan,Total,Person,52.73,0.72,7.5,0.45,0.29,12.76,8.04,4.01,1.52,0.56,0.86,0.16,0.79,0.97,1.18,4.0,1.11,0.45,0.18
Rajasthan,Urban,Female,21.96,0.0,18.24,0.0,2.59,3.55,6.58,1.19,1.39,0.78,1.16,0.13,0.89,1.88,2.38,24.59,4.52,0.18,3.43
Rajasthan,Urban,Male,6.18,1.06,17.96,0.66,0.72,13.05,22.38,7.68,3.61,2.25,3.06,0.85,2.56,3.22,2.7,5.74,2.48,0.49,0.22
Rajasthan,Urban,Person,8.81,0.89,18.01,0.55,1.04,11.46,19.74,6.59,3.24,2.0,2.74,0.73,2.28,3.0,2.64,8.89,2.82,0.44,0.76
Rajasthan,Rural,Female,81.27,0.01,3.62,0.04,0.1,10.07,1.29,0.0,0.45,0.0,0.15,0.0,0.05,0.04,0.29,1.53,0.71,0.0,0.0
Rajasthan,Rural,Male,55.95,1.39,7.66,0.41,0.21,15.25,6.33,4.69,1.33,0.23,0.2,0.02,0.76,0.69,0.31,1.94,0.46,0.33,0.11
Rajasthan,Rural,Person,65.52,0.87,6.13,0.27,0.17,13.29,4.43,2.92,1.0,0.14,0.18,0.01,0.49,0.44,0.3,1.79,0.56,0.21,0.07
Rajasthan,Total,Female,73.29,0.01,6.57,0.03,0.36,9.48,2.76,0.04,0.69,0.01,0.3,0.0,0.68,0.21,0.52,3.26,0.84,0.0,0.18
Rajasthan,Total,Male,42.77,1.31,11.34,0.41,0.62,15.31,10.91,5.79,1.72,0.46,0.67,0.16,0.98,1.1,0.92,2.39,0.66,0.44,0.14
Rajasthan,Total,Person,53.13,0.87,9.72,0.28,0.53,13.33,8.14,3.84,1.37,0.31,0.54,0.1,0.88,0.8,0.78,2.68,0.72,0.29,0.16
Rajasthan,Urban,Female,13.46,0.0,28.75,0.0,2.34,5.1,13.74,0.37,2.5,0.11,1.42,0.0,5.44,1.48,2.23,16.21,1.8,0.0,1.57
Rajasthan,Urban,Male,4.04,1.06,22.15,0.39,1.8,15.51,24.35,9.0,2.87,1.14,2.02,0.57,1.65,2.3,2.71,3.7,1.26,0.74,0.22
Rajasthan,Urban,Person,5.85,0.86,23.42,0.32,1.9,13.51,22.31,7.34,2.8,0.94,1.9,0.46,2.38,2.14,2.62,6.11,1.36,0.6,0.48
Uttar Pradesh,Rural,Female,80.53,0.0,7.66,0.0,0.29,1.26,2.5,0.03,0.31,0.0,0.03,0.0,0.06,0.0,0.51,5.37,0.45,0.0,0.05
Uttar Pradesh,Rural,Male,57.6,0.16,6.8,0.11,0.22,17.56,7.5,2.99,1.1,0.1,0.37,0.04,0.26,0.58,0.47,2.05,0.3,0.25,0.05
Uttar Pradesh,Rural,Person,61.69,0.13,6.95,0.09,0.23,14.66,6.61,2.46,0.96,0.08,0.31,0.03,0.23,0.48,0.48,2.64,0.32,0.21,0.05
