State,Residence_Type,Gender,Agriculture & Fishing (%),Mining (%),Manufacturing (%),Energy Supply (%),"Persons working in water supply, sewerage, waste management and remediation industry (%)",Construction (%),Wholesale (%),Transportation & Storage (%),Hotel Industry (%),IT (%),Finance & Insurance (%),Real Estate (%),Scientific & Technical (%),Administration (%),Public administration & Defence (%),Education (%),Health (%),Entertainment Industry (%),Household (%)
Andhra Pradesh,Total,Person,44.35,0.29,10.6,0.5,0.17,10.89,9.24,6.53,2.9,0.55,1.02,0.29,0.47,0.47,1.97,3.45,1.54,0.14,1.17
Andhra Pradesh,Urban,Female,7.64,0.0,23.47,0.41,0.73,6.48,14.05,0.69,5.25,0.65,0.75,0.16,0.16,0.29,2.85,14.1,6.21,0.0,9.52
Andhra Pradesh,Urban,Male,4.86,0.18,17.59,1.26,0.52,14.47,19.58,11.74,4.88,1.5,3.44,1.04,1.32,1.51,3.69,4.62,1.48,0.26,0.62
Andhra Pradesh,Urban,Person,5.61,0.13,19.18,1.03,0.58,12.32,18.09,8.77,4.98,1.27,2.71,0.8,1.01,1.18,3.46,7.17,2.75,0.19,3.02
Andhra Pradesh,Rural,Female,74.68,0.1,6.87,0.0,0.0,5.03,4.86,0.17,0.86,0.0,0.0,0.0,0.01,0.04,2.82,2.25,0.93,0.0,0.19
Andhra Pradesh,Rural,Male,58.3,1.24,5.81,0.32,0.24,10.66,5.75,6.57,0.8,0.39,0.49,0.0,0.49,0.69,1.65,2.56,0.6,0.45,0.0
Andhra Pradesh,Rural,Person,64.38,0.82,6.2,0.2,0.15,8.57,5.42,4.19,0.82,0.25,0.31,0.0,0.31,0.45,2.09,2.44,0.73,0.28,0.07
Andhra Pradesh,Total,Female,60.54,0.09,9.82,0.04,0.17,5.25,8.59,0.32,1.83,0.14,0.51,0.09,0.06,0.16,2.92,4.11,1.55,0.0,1.34
Andhra Pradesh,Total,Male,42.79,1.01,8.78,0.47,0.28,11.96,10.61,7.86,1.65,0.9,0.98,0.22,0.9,1.23,2.46,3.05,0.94,0.5,0.25
Andhra Pradesh,Total,Person,48.96,0.69,9.14,0.32,0.24,9.63,9.91,5.24,1.71,0.64,0.81,0.18,0.61,0.86,2.62,3.42,1.15,0.33,0.63
Andhra Pradesh,Urban,Female,11.6,0.08,20.04,0.18,0.75,6.01,21.47,0.83,5.21,0.61,2.26,0.42,0.22,0.58,3.29,10.55,3.67,0.0,5.33
Andhra Pradesh,Urban,Male,6.4,0.46,15.73,0.81,0.38,15.02,22.02,10.88,3.65,2.09,2.12,0.74,1.86,2.49,4.35,4.21,1.74,0.61,0.82
Andhra Pradesh,Urban,Person,7.88,0.35,16.96,0.63,0.49,12.45,21.86,8.01,4.1,1.67,2.16,0.64,1.39,1.95,4.05,6.02,2.29,0.44,2.11
Karnataka,Rural,Female,73.27,0.08,9.76,0.0,0.0,2.01,4.41,0.13,1.09,0.12,0.06,0.0,0.24,0.0,1.48,5.61,1.2,0.0,0.1
Karnataka,Rural,Male,57.39,0.93,6.17,0.26,0.35,10.52,7.33,8.41,1.66,0.15,0.96,0.05,0.46,0.5,1.22,2.19,0.37,0.08,0.01
Karnataka,Rural,Person,61.57,0.7,7.11,0.19,0.25,8.28,6.56,6.23,1.51,0.14,0.72,0.03,0.4,0.37,1.29,3.09,0.59,0.06,0.03
Karnataka,Total,Female,52.95,0.12,14.86,0.05,0.0,2.14,5.88,0.41,2.12,2.74,0.75,0.17,0.72,0.45,1.37,8.76,2.1,0.05,2.46
Karnataka,Total,Male,37.18,0.66,10.75,0.32,0.33,10.76,12.32,9.47,3.04,3.66,1.97,0.46,0.97,1.16,1.66,2.22,0.73,0.3,0.22
Karnataka,Total,Person,40.97,0.53,11.74,0.26,0.25,8.68,10.77,7.29,2.82,3.44,1.67,0.39,0.91,0.99,1.59,3.79,1.06,0.24,0.76
Karnataka,Urban,Female,5.95,0.19,26.67,0.18,0.0,2.43,9.27,1.06,4.49,8.8,2.34,0.55,1.85,1.48,1.1,16.02,4.16,0.17,7.92
Karnataka,Urban,Male,4.13,0.23,18.25,0.43,0.31,11.15,20.48,11.21,5.29,9.41,3.62,1.13,1.8,2.25,2.39,2.25,1.32,0.67,0.55
Karnataka,Urban,Person,4.5,0.22,19.94,0.38,0.24,9.39,18.22,9.16,5.13,9.28,3.36,1.01,1.81,2.09,2.13,5.03,1.9,0.57,2.04
Karnataka,Rural,Female,78.28,0.0,8.09,0.0,0.08,0.64,3.38,0.19,0.65,0.17,0.71,0.0,0.0,0.0,0.43,5.5,1.82,0.0,0.02
Karnataka,Rural,Male,64.08,0.05,7.75,0.85,0.09,8.11,6.24,5.6,1.7,0.69,0.62,0.0,0.36,0.42,0.87,1.75,0.16,0.2,0.01
Karnataka,Rural,Person,68.88,0.04,7.86,0.56,0.08,5.59,5.27,3.77,1.34,0.52,0.65,0.0,0.24,0.28,0.72,3.01,0.72,0.13,0.01
Karnataka,Total,Female,59.59,0.0,11.98,0.01,0.13,1.52,6.67,0.32,1.64,2.24,1.08,0.05,0.4,0.22,1.01,8.16,3.0,0.0,1.47
Karnataka,Total,Male,41.02,0.06,12.39,0.77,0.17,9.01,12.98,8.31,3.05,3.08,1.39,0.22,0.97,1.12,1.46,2.15,0.71,0.2,0.09
Karnataka,Total,Person,46.58,0.04,12.27,0.54,0.16,6.77,11.09,5.92,2.63,2.83,1.3,0.17,0.8,0.85,1.33,3.95,1.4,0.14,0.5
Karnataka,Urban,Female,10.35,0.0,22.24,0.05,0.28,3.85,15.34,0.66,4.28,7.7,2.05,0.18,1.45,0.8,2.53,15.16,6.11,0.0,5.3
Karnataka,Urban,Male,5.28,0.06,19.58,0.65,0.29,10.4,23.43,12.52,5.14,6.78,2.6,0.56,1.91,2.2,2.39,2.77,1.57,0.21,0.22
Karnataka,Urban,Person,6.45,0.05,20.2,0.51,0.29,8.89,21.57,9.78,4.94,6.99,2.48,0.48,1.8,1.88,2.42,5.63,2.62,0.16,1.39
Goa,Rural,Female,19.34,0.0,12.81,0.0,0.0,0.65,32.2,0.0,6.61,0.0,0.87,0.0,0.0,0.0,2.3,10.42,3.32,0.0,3.97
Goa,Rural,Male,10.61,3.45,13.45,0.0,0.58,9.28,22.54,9.53,10.1,3.85,1.68,0.0,0.35,0.0,5.81,0.68,4.41,0.9,0.32
Goa,Rural,Person,13.09,2.47,13.27,0.0,0.42,6.83,25.29,6.82,9.11,2.75,1.45,0.0,0.25,0.0,4.82,3.45,4.1,0.65,1.35
Goa,Total,Female,11.65,0.0,11.46,0.29,0.0,0.78,23.96,0.55,4.01,0.47,3.31,0.0,2.81,0.43,4.88,12.71,3.33,1.32,11.01
Goa,Total,Male,6.69,1.56,18.33,1.03,0.95,10.17,19.6,10.65,9.63,1.62,1.5,0.2,1.07,2.16,5.51,2.52,3.41,0.6,0.63
Goa,Total,Person,8.09,1.12,16.39,0.82,0.69,7.52,20.83,7.8,8.04,1.29,2.01,0.14,1.56,1.67,5.33,5.4,3.39,0.8,3.56
Goa,Urban,Female,7.48,0.0,10.72,0.45,0.0,0.85,19.49,0.84,2.6,0.72,4.64,0.0,4.34,0.66,6.28,13.96,3.34,2.04,14.83
Goa,Urban,Male,4.59,0.54,20.93,1.59,1.15,10.64,18.02,11.25,9.38,0.43,1.4,0.3,1.45,3.31,5.35,3.51,2.87,0.43,0.79
Goa,Urban,Person,5.41,0.39,18.06,1.27,0.83,7.88,18.43,8.32,7.47,0.51,2.31,0.22,2.26,2.57,5.61,6.45,3.0,0.89,4.74
Goa,Rural,Female,65.05,0.0,7.0,0.0,0.0,1.18,9.95,0.0,1.71,2.18,2.37,0.0,0.0,0.0,3.81,2.23,1.25,1.1,2.17
Goa,Rural,Male,26.73,4.51,9.5,0.57,0.33,10.34,11.78,9.95,7.9,0.57,0.0,0.0,0.28,5.27,5.58,2.18,1.44,0.0,0.92
Goa,Rural,Person,36.93,3.31,8.83,0.42,0.24,7.9,11.29,7.3,6.25,1.0,0.63,0.0,0.21,3.87,5.11,2.19,1.39,0.29,1.25
Goa,Total,Female,26.07,0.04,16.79,0.0,0.0,0.43,15.09,6.68,2.62,1.14,2.13,0.0,0.96,1.39,4.06,10.93,7.26,0.41,3.51
Goa,Total,Male,11.33,2.12,12.5,1.54,0.54,9.74,20.3,11.71,9.93,1.59,1.22,0.23,1.25,3.12,5.93,2.75,1.06,0.63,0.75
Goa,Total,Person,15.28,1.56,13.65,1.13,0.4,7.24,18.91,10.36,7.97,1.47,1.46,0.17,1.17,2.66,5.43,4.94,2.72,0.57,1.49
Goa,Urban,Female,3.39,0.07,22.48,0.0,0.0,0.0,18.09,10.56,3.15,0.54,1.99,0.0,1.51,2.2,4.2,15.99,10.77,0.0,4.29
Goa,Urban,Male,2.24,0.71,14.27,2.11,0.67,9.38,25.34,12.74,11.13,2.2,1.94,0.37,1.82,1.85,6.14,3.08,0.84,1.0,0.65
Goa,Urban,Person,2.55,0.54,16.48,1.54,0.49,6.86,23.38,12.16,8.98,1.75,1.95,0.27,1.74,1.94,5.61,6.56,3.51,0.73,1.63
Lakshadweep,Rural,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.47,14.62,2.9,0.0,0.0
Lakshadweep,Rural,Male,30.5,0.0,0.0,0.0,0.0,22.34,0.0,7.42,0.0,0.0,0.0,0.0,0.0,0.0,35.39,0.18,1.05,0.0,0.0
Lakshadweep,Rural,Person,27.22,0.0,0.0,0.0,0.0,19.93,0.0,6.62,0.0,0.0,0.0,0.0,0.0,0.0,40.46,1.74,1.25,0.0,0.0
Lakshadweep,Total,Female,8.38,0.0,11.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.27,51.5,12.01,0.0,0.0
Lakshadweep,Total,Male,32.8,0.0,3.39,2.61,0.0,19.26,5.01,7.88,1.99,0.0,0.0,0.0,0.0,1.72,16.38,4.47,1.31,0.0,0.0
Lakshadweep,Total,Person,28.77,0.0,4.79,2.18,0.0,16.08,4.19,6.58,1.66,0.0,0.0,0.0,0.0,1.44,16.36,12.24,3.07,0.0,0.0
Lakshadweep,Urban,Female,9.85,0.0,13.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,57.99,13.61,0.0,0.0
Lakshadweep,Urban,Male,33.55,0.0,4.5,3.45,0.0,18.26,6.64,8.02,2.64,0.0,0.0,0.0,0.0,2.28,10.21,5.87,1.39,0.0,0.0
Lakshadweep,Urban,Person,29.23,0.0,6.22,2.82,0.0,14.93,5.43,6.56,2.15,0.0,0.0,0.0,0.0,1.86,9.19,15.37,3.62,0.0,0.0
Lakshadweep,Rural,Female,3.67,0.0,21.75,0.0,0.0,42.74,0.0,0.0,16.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.82,0.0,0.0
Lakshadweep,Rural,Male,61.57,0.0,1.41,0.0,0.3,13.72,0.67,3.94,5.35,0.0,1.5,0.0,10.23,0.1,0.0,0.0,0.53,0.0,0.0
Lakshadweep,Rural,Person,50.14,0.0,5.42,0.0,0.24,19.45,0.54,3.16,7.46,0.0,1.21,0.0,8.21,0.08,0.0,0.0,3.55,0.0,0.0
Lakshadweep,Total,Female,3.71,0.0,16.03,0.0,0.0,9.17,5.85,0.0,3.44,0.0,0.0,0.0,0.0,0.0,26.8,11.7,23.29,0.0,0.0
Lakshadweep,Total,Male,22.02,0.0,4.02,1.53,3.63,16.7,4.07,11.37,2.65,0.0,0.41,0.0,7.97,1.52,15.14,4.35,0.15,0.0,0.0
Lakshadweep,Total,Person,17.65,0.0,6.89,1.17,2.76,14.91,4.49,8.66,2.84,0.0,0.31,0.0,6.07,1.16,17.92,6.1,5.66,0.0,0.0
Lakshadweep,Urban,Female,3.73,0.0,14.47,0.0,0.0,0.0,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.13,14.9,25.33,0.0,0.0
Lakshadweep,Urban,Male,7.14,0.0,5.01,2.11,4.88,17.83,5.34,14.16,1.64,0.0,0.0,0.0,7.12,2.06,20.83,5.98,0.0,0.0,0.0
Lakshadweep,Urban,Person,6.27,0.0,7.4,1.58,3.65,13.32,5.88,10.58,1.23,0.0,0.0,0.0,5.32,1.54,24.19,8.24,6.4,0.0,0.0
Kerala,Rural,Female,26.32,0.04,13.32,0.06,0.13,19.99,7.19,0.57,1.16,0.39,5.17,0.0,0.77,0.14,4.01,11.38,4.84,0.24,2.54
Kerala,Rural,Male,29.37,0.64,8.93,0.47,0.12,21.15,14.06,9.77,3.36,0.92,1.93,0.12,1.2,0.97,1.65,1.39,0.97,0.76,0.19
Kerala,Rural,Person,28.42,0.46,10.3,0.34,0.12,20.79,11.92,6.91,2.68,0.76,2.94,0.08,1.06,0.71,2.38,4.5,2.17,0.6,0.92
Kerala,Total,Female,18.99,0.09,14.73,0.21,0.26,15.53,9.21,1.04,2.21,1.61,5.57,0.0,1.59,0.49,3.64,12.96,6.35,0.35,3.52
Kerala,Total,Male,20.97,0.44,10.47,0.64,0.27,21.28,16.48,10.79,3.7,1.42,2.3,0.21,1.64,1.25,1.95,1.73,1.19,0.88,0.18
Kerala,Total,Person,20.36,0.33,11.77,0.51,0.26,19.53,14.27,7.83,3.25,1.48,3.29,0.15,1.63,1.02,2.47,5.15,2.76,0.72,1.2
Kerala,Urban,Female,9.68,0.14,16.53,0.39,0.42,9.87,11.76,1.65,3.55,3.17,6.06,0.0,2.64,0.95,3.16,14.97,8.27,0.48,4.76
Kerala,Urban,Male,11.0,0.2,12.29,0.83,0.44,21.43,19.36,12.0,4.11,2.0,2.74,0.31,2.17,1.6,2.32,2.14,1.45,1.02,0.18
Kerala,Urban,Person,10.61,0.19,13.55,0.7,0.43,18.0,17.11,8.93,3.94,2.35,3.72,0.22,2.31,1.4,2.57,5.94,3.47,0.86,1.54
Kerala,Rural,Female,33.95,0.08,9.85,0.0,0.26,18.3,8.5,0.71,2.64,1.35,3.85,0.26,0.96,0.32,1.9,9.21,4.87,0.27,1.31
Kerala,Rural,Male,28.8,0.56,8.51,0.25,0.0,22.35,12.94,8.87,2.21,1.42,2.32,0.55,0.92,0.65,1.62,2.84,0.61,1.29,0.05
Kerala,Rural,Person,30.57,0.4,8.97,0.16,0.09,20.96,11.42,6.06,2.36,1.39,2.84,0.45,0.93,0.54,1.71,5.03,2.08,0.94,0.48
Kerala,Total,Female,23.84,0.11,12.18,0.0,0.43,14.85,11.42,0.81,3.14,1.92,4.72,0.15,1.31,0.83,2.73,11.13,5.97,0.18,2.22
Kerala,Total,Male,20.95,0.34,9.83,0.5,0.13,21.57,16.87,9.66,3.07,1.95,2.68,0.44,1.53,0.94,1.61,2.82,1.03,1.15,0.07
Kerala,Total,Person,21.89,0.26,10.59,0.34,0.23,19.4,15.11,6.8,3.09,1.94,3.34,0.35,1.46,0.9,1.97,5.51,2.63,0.84,0.77
Kerala,Urban,Female,10.27,0.15,15.31,0.0,0.66,10.21,15.34,0.94,3.8,2.69,5.89,0.0,1.77,1.51,3.85,13.71,7.44,0.05,3.44
Kerala,Urban,Male,12.41,0.09,11.27,0.78,0.28,20.73,21.15,10.52,4.0,2.53,3.08,0.32,2.19,1.24,1.6,2.8,1.49,1.01,0.1
Kerala,Urban,Person,11.77,0.11,12.48,0.54,0.39,17.59,19.41,7.66,3.94,2.57,3.92,0.23,2.06,1.32,2.27,6.06,3.27,0.72,1.1
Tamil Nadu,Rural,Female,50.61,0.2,13.95,0.0,0.2,20.48,4.87,0.03,1.58,0.14,0.32,0.0,0.03,0.84,0.97,3.25,1.48,0.06,0.43
Tamil Nadu,Rural,Male,38.14,0.16,13.55,0.69,0.35,16.81,9.62,8.08,2.87,0.62,0.85,0.26,0.51,1.61,1.7,2.01,0.35,0.16,0.34
Tamil Nadu,Rural,Person,43.1,0.17,13.71,0.41,0.29,18.27,7.73,4.88,2.36,0.43,0.64,0.15,0.32,1.3,1.41,2.51,0.8,0.12,0.37
Tamil Nadu,Total,Female,35.69,0.16,19.27,0.1,0.17,14.93,7.93,0.14,2.13,1.64,0.96,0.05,0.78,1.29,1.22,6.58,2.23,0.13,3.17
Tamil Nadu,Total,Male,22.71,0.23,18.45,0.6,0.48,14.57,13.12,9.18,3.6,2.91,1.89,0.39,1.32,2.1,2.02,2.32,0.8,0.71,0.64
Tamil Nadu,Total,Person,27.26,0.2,18.74,0.43,0.37,14.7,11.3,6.01,3.08,2.47,1.57,0.27,1.13,1.81,1.74,3.81,1.3,0.51,1.53
Tamil Nadu,Urban,Female,8.35,0.09,29.02,0.28,0.11,4.77,13.54,0.35,3.13,4.4,2.14,0.14,2.16,2.1,1.67,12.69,3.61,0.27,8.2
Tamil Nadu,Urban,Male,5.38,0.31,23.95,0.51,0.62,12.06,17.06,10.42,4.41,5.48,3.06,0.54,2.22,2.64,2.37,2.66,1.3,1.33,0.99
Tamil Nadu,Urban,Person,6.24,0.25,25.41,0.44,0.47,9.96,16.04,7.52,4.05,5.17,2.79,0.42,2.2,2.49,2.17,5.55,1.97,1.02,3.07
Tamil Nadu,Rural,Female,57.37,0.02,12.19,0.01,0.13,17.68,4.21,0.14,1.43,0.12,0.44,0.0,0.0,0.36,1.4,2.65,1.39,0.12,0.18
Tamil Nadu,Rural,Male,40.51,0.56,11.95,0.53,0.24,18.16,9.42,7.77,2.6,0.54,0.98,0.24,0.75,0.51,1.19,1.5,0.16,0.46,0.0
Tamil Nadu,Rural,Person,47.22,0.35,12.04,0.32,0.2,17.97,7.34,4.74,2.13,0.37,0.77,0.15,0.45,0.45,1.27,1.96,0.65,0.33,0.07
Tamil Nadu,Total,Female,39.68,0.06,18.83,0.13,0.29,13.44,8.55,0.21,2.46,1.29,1.34,0.0,0.63,0.56,1.69,5.9,2.59,0.08,1.58
Tamil Nadu,Total,Male,24.69,0.49,16.14,0.76,0.55,15.48,14.76,9.41,3.57,2.22,1.96,0.49,1.4,1.16,1.33,1.85,0.58,0.45,0.26
Tamil Nadu,Total,Person,30.05,0.34,17.1,0.53,0.46,14.75,12.54,6.12,3.17,1.88,1.74,0.32,1.13,0.94,1.46,3.3,1.3,0.32,0.73
Tamil Nadu,Urban,Female,9.49,0.13,30.15,0.33,0.55,6.22,15.97,0.33,4.22,3.29,2.87,0.0,1.72,0.9,2.19,11.43,4.65,0.0,3.97
Tamil Nadu,Urban,Male,6.76,0.41,20.88,1.01,0.9,12.44,20.81,11.25,4.67,4.11,3.08,0.78,2.14,1.9,1.48,2.25,1.05,0.44,0.55
Tamil Nadu,Urban,Person,7.6,0.33,23.71,0.8,0.79,10.54,19.33,7.92,4.54,3.86,3.01,0.54,2.01,1.59,1.7,5.05,2.15,0.3,1.59
Puducherry,Rural,Female,38.51,0.0,34.11,0.0,0.13,8.39,0.63,1.11,0.18,0.0,0.0,0.0,0.0,0.0,0.0,6.95,0.57,0.0,8.18
Puducherry,Rural,Male,14.63,0.18,17.57,0.0,0.51,26.33,9.57,9.75,2.8,3.46,1.18,0.0,0.87,0.0,0.04,8.4,0.08,0.0,1.19
Puducherry,Rural,Person,23.68,0.11,23.84,0.0,0.37,19.53,6.18,6.47,1.81,2.15,0.73,0.0,0.54,0.0,0.03,7.85,0.27,0.0,3.84
Puducherry,Total,Female,20.16,0.0,28.68,0.0,0.06,6.1,5.83,0.52,1.72,3.16,0.41,0.0,0.65,0.78,0.81,13.15,6.25,0.56,9.09
Puducherry,Total,Male,11.22,0.07,17.08,0.4,0.24,16.97,14.05,8.06,2.01,4.52,3.3,0.33,2.28,3.64,4.69,4.97,2.63,0.34,0.63
Puducherry,Total,Person,14.13,0.05,20.85,0.27,0.18,13.43,11.37,5.6,1.92,4.08,2.36,0.22,1.74,2.71,3.43,7.63,3.81,0.41,3.38
Puducherry,Urban,Female,3.77,0.0,23.82,0.0,0.0,4.05,10.47,0.0,3.09,5.98,0.78,0.0,1.22,1.48,1.53,18.69,11.33,1.06,9.89
Puducherry,Urban,Male,9.19,0.0,16.79,0.64,0.08,11.39,16.72,7.05,1.55,5.15,4.56,0.52,3.11,5.8,7.46,2.92,4.15,0.54,0.3
Puducherry,Urban,Person,7.62,0.0,18.82,0.45,0.05,9.27,14.91,5.01,1.99,5.39,3.47,0.37,2.57,4.55,5.74,7.48,6.22,0.69,3.07
Puducherry,Rural,Female,44.06,0.0,25.81,0.0,0.0,4.93,10.11,0.0,0.67,0.14,0.0,0.0,0.0,1.13,1.82,1.48,3.77,0.0,5.8
Puducherry,Rural,Male,35.55,0.0,19.03,0.0,0.0,10.46,4.44,6.72,3.35,1.6,0.61,0.0,0.1,2.33,9.39,2.33,0.61,0.0,0.0
Puducherry,Rural,Person,38.35,0.0,21.26,0.0,0.0,8.64,6.31,4.51,2.47,1.12,0.41,0.0,0.07,1.94,6.89,2.05,1.65,0.0,1.91
Puducherry,Total,Female,19.36,0.0,20.99,0.0,0.0,2.94,13.26,0.16,1.71,3.01,2.11,0.0,0.0,1.06,1.95,15.76,7.45,0.28,9.16
Puducherry,Total,Male,14.17,0.55,20.3,0.16,0.33,11.47,16.76,7.75,3.64,2.06,2.91,0.12,1.77,1.71,6.49,3.64,2.18,0.72,0.25
Puducherry,Total,Person,15.71,0.38,20.5,0.11,0.23,8.94,15.72,5.49,3.06,2.34,2.68,0.08,1.25,1.52,5.14,7.23,3.74,0.59,2.89
Puducherry,Urban,Female,2.58,0.0,17.71,0.0,0.0,1.59,15.4,0.26,2.41,4.96,3.55,0.0,0.0,1.0,2.04,25.45,9.96,0.47,11.44
Puducherry,Urban,Male,2.79,0.84,20.98,0.24,0.51,12.0,23.31,8.29,3.79,2.3,4.14,0.18,2.66,1.38,4.94,4.33,3.01,1.11,0.38
Puducherry,Urban,Person,2.73,0.6,20.07,0.18,0.37,9.11,21.11,6.06,3.4,3.04,3.98,0.13,1.92,1.28,4.14,10.2,4.94,0.93,3.46
Andaman And Nicobar Islands,Rural,Female,6.97,0.0,5.6,0.0,0.0,16.5,12.96,0.71,3.39,0.0,0.85,0.0,0.0,0.0,20.63,17.22,11.36,0.0,3.53
Andaman And Nicobar Islands,Rural,Male,20.68,0.0,8.52,1.28,0.35,23.47,7.11,6.15,0.69,2.89,0.15,0.0,1.65,4.05,17.11,1.43,1.17,0.0,0.0
Andaman And Nicobar Islands,Rural,Person,17.63,0.0,7.87,1.0,0.27,21.92,8.41,4.94,1.29,2.25,0.3,0.0,1.28,3.15,17.89,4.94,3.44,0.0,0.79
Andaman And Nicobar Islands,Total,Female,5.47,0.0,4.87,0.0,0.0,10.98,17.32,0.75,3.06,1.42,0.87,0.0,1.11,0.0,21.34,17.1,8.25,0.0,7.28
Andaman And Nicobar Islands,Total,Male,12.66,0.0,7.77,1.28,0.54,20.47,10.94,6.99,3.99,2.16,0.34,0.26,1.59,4.81,21.01,1.57,0.99,0.0,0.22
Andaman And Nicobar Islands,Total,Person,11.22,0.0,7.19,1.03,0.43,18.57,12.22,5.74,3.8,2.01,0.44,0.21,1.5,3.85,21.08,4.68,2.45,0.0,1.63
Andaman And Nicobar Islands,Urban,Female,2.95,0.0,3.64,0.0,0.0,1.74,24.64,0.8,2.5,3.81,0.91,0.0,2.98,0.0,22.55,16.89,3.03,0.0,13.57
Andaman And Nicobar Islands,Urban,Male,2.91,0.0,6.87,1.29,0.77,16.83,15.59,8.01,8.0,1.27,0.57,0.58,1.52,5.73,25.76,1.75,0.78,0.0,0.48
Andaman And Nicobar Islands,Urban,Person,2.92,0.0,6.32,1.07,0.64,14.24,17.14,6.77,7.05,1.7,0.63,0.48,1.77,4.74,25.2,4.35,1.17,0.0,2.73
Andaman And Nicobar Islands,Rural,Female,20.69,0.0,2.48,1.01,0.0,15.6,8.01,0.5,1.3,0.0,0.0,0.0,0.0,0.0,15.39,17.66,12.75,0.0,3.51
Andaman And Nicobar Islands,Rural,Male,27.12,0.0,6.91,4.6,3.44,21.75,5.21,15.93,0.98,0.0,0.09,0.0,0.87,0.64,7.95,3.81,0.62,0.0,0.0
Andaman And Nicobar Islands,Rural,Person,25.41,0.0,5.73,3.65,2.52,20.12,5.96,11.82,1.07,0.0,0.06,0.0,0.64,0.47,9.94,7.5,3.85,0.0,0.93
Andaman And Nicobar Islands,Total,Female,12.98,0.0,4.24,0.94,0.0,10.12,16.86,0.73,2.11,0.0,1.52,0.0,1.3,0.0,17.23,15.25,12.4,0.0,3.59
Andaman And Nicobar Islands,Total,Male,16.05,0.0,6.95,3.09,2.23,22.69,8.14,15.27,2.4,0.41,0.09,0.0,0.85,2.04,13.79,3.36,0.92,0.06,0.35
Andaman And Nicobar Islands,Total,Person,15.29,0.0,6.28,2.56,1.68,19.57,10.31,11.66,2.33,0.31,0.45,0.0,0.96,1.53,14.64,6.32,3.77,0.05,1.16
Andaman And Nicobar Islands,Urban,Female,0.77,0.0,7.02,0.84,0.0,1.44,30.87,1.09,3.4,0.0,3.94,0.0,3.35,0.0,20.14,11.43,11.85,0.0,3.73
Andaman And Nicobar Islands,Urban,Male,2.08,0.0,7.0,1.18,0.71,23.88,11.85,14.45,4.19,0.94,0.1,0.0,0.83,3.81,21.15,2.81,1.3,0.14,0.79
Andaman And Nicobar Islands,Urban,Person,1.79,0.0,7.01,1.1,0.55,18.84,16.12,11.45,4.02,0.73,0.96,0.0,1.4,2.96,20.92,4.74,3.67,0.11,1.45
Telangana,Rural,Female,70.64,0.1,14.13,0.0,0.0,4.81,2.68,0.0,0.19,0.0,0.05,0.0,0.0,0.7,0.37,3.58,0.55,0.0,0.15
Telangana,Rural,Male,63.67,0.14,7.31,0.03,0.12,8.38,5.11,6.57,0.13,0.7,0.27,0.66,0.4,0.52,1.63,1.84,0.08,0.45,0.26
Telangana,Rural,Person,66.62,0.12,10.2,0.02,0.07,6.86,4.08,3.78,0.16,0.4,0.18,0.38,0.23,0.6,1.09,2.58,0.28,0.26,0.21
Telangana,Total,Female,54.74,0.09,16.6,0.14,0.05,5.72,4.21,0.31,0.61,1.34,0.58,0.08,0.4,0.76,0.56,5.29,1.99,0.0,4.08
Telangana,Total,Male,37.45,0.73,10.82,0.29,0.31,10.28,11.29,7.95,1.36,2.72,1.23,0.98,1.54,1.94,2.04,2.37,0.98,0.85,2.24
Telangana,Total,Person,43.56,0.51,12.86,0.23,0.22,8.67,8.79,5.25,1.09,2.23,1.0,0.66,1.13,1.52,1.52,3.4,1.33,0.55,2.89
Telangana,Urban,Female,2.96,0.08,24.64,0.59,0.19,8.71,9.19,1.31,1.97,5.72,2.31,0.32,1.71,0.96,1.21,10.84,6.68,0.0,16.89
Telangana,Urban,Male,2.89,1.51,15.45,0.62,0.56,12.79,19.43,9.78,2.97,5.38,2.49,1.39,3.04,3.8,2.59,3.06,2.17,1.38,4.86
Telangana,Urban,Person,2.9,1.19,17.55,0.61,0.48,11.85,17.08,7.84,2.74,5.45,2.45,1.15,2.73,3.15,2.27,4.84,3.2,1.06,7.62
Telangana,Rural,Female,70.5,0.0,12.19,0.0,0.22,5.02,3.34,0.09,0.16,0.31,0.0,0.0,0.01,0.0,0.11,6.37,1.2,0.0,0.02
Telangana,Rural,Male,70.96,0.13,4.63,0.0,0.17,5.67,5.61,5.39,0.3,0.14,0.25,0.24,0.16,0.54,1.77,1.58,0.27,0.59,0.01
Telangana,Rural,Person,70.76,0.07,7.93,0.0,0.19,5.38,4.62,3.08,0.24,0.21,0.14,0.13,0.09,0.31,1.05,3.67,0.67,0.33,0.02
Telangana,Total,Female,56.26,0.04,13.42,0.0,0.17,4.97,8.89,0.21,0.69,1.19,0.19,0.22,0.47,0.39,0.63,7.88,2.11,0.05,1.19
Telangana,Total,Male,43.69,0.96,9.04,0.16,0.24,7.62,13.32,7.73,1.08,2.92,1.12,0.93,1.42,0.94,2.51,2.2,1.18,0.65,0.45
